Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9975212464589235,0.6344086021505376,0.8805970149253731,0.7375
C-SVC,0.9992917847025495,0.9365079365079365,0.8805970149253731,0.9076923076923077
Random Forest,1.0,1.0,1.0,1.0
XGBoost,1.0,1.0,1.0,1.0
